[Sat Mar 14 23:45:06.442600 2020] [php7:emerg] [pid 3507] [client 127.0.0.1:45560] PHP Parse error:  syntax error, unexpected '$dump' (T_VARIABLE), expecting function (T_FUNCTION) or const (T_CONST) in /home/viktor/dev-projects/data-2/data-2/App/Controllers/IndexController.php on line 53, referer: http://data-2.test/
[Sat Mar 14 23:45:48.690904 2020] [php7:emerg] [pid 11305] [client 127.0.0.1:45566] PHP Parse error:  syntax error, unexpected '$dump' (T_VARIABLE), expecting function (T_FUNCTION) or const (T_CONST) in /home/viktor/dev-projects/data-2/data-2/App/Controllers/IndexController.php on line 55, referer: http://data-2.test/
[Sat Mar 14 23:46:32.523729 2020] [php7:emerg] [pid 24421] [client 127.0.0.1:45576] PHP Parse error:  syntax error, unexpected '$dump' (T_VARIABLE), expecting function (T_FUNCTION) or const (T_CONST) in /home/viktor/dev-projects/data-2/data-2/App/Controllers/IndexController.php on line 55, referer: http://data-2.test/
[Sat Mar 14 23:47:38.807012 2020] [php7:emerg] [pid 28169] [client 127.0.0.1:45584] PHP Parse error:  syntax error, unexpected '$dump' (T_VARIABLE), expecting function (T_FUNCTION) or const (T_CONST) in /home/viktor/dev-projects/data-2/data-2/App/Controllers/IndexController.php on line 57, referer: http://data-2.test/
[Sat Mar 14 23:47:39.670310 2020] [php7:emerg] [pid 11424] [client 127.0.0.1:45586] PHP Parse error:  syntax error, unexpected '$dump' (T_VARIABLE), expecting function (T_FUNCTION) or const (T_CONST) in /home/viktor/dev-projects/data-2/data-2/App/Controllers/IndexController.php on line 57, referer: http://data-2.test/
[Sat Mar 14 23:47:39.820391 2020] [php7:emerg] [pid 3507] [client 127.0.0.1:45588] PHP Parse error:  syntax error, unexpected '$dump' (T_VARIABLE), expecting function (T_FUNCTION) or const (T_CONST) in /home/viktor/dev-projects/data-2/data-2/App/Controllers/IndexController.php on line 57, referer: http://data-2.test/
[Sat Mar 14 23:47:39.951811 2020] [php7:emerg] [pid 29613] [client 127.0.0.1:45590] PHP Parse error:  syntax error, unexpected '$dump' (T_VARIABLE), expecting function (T_FUNCTION) or const (T_CONST) in /home/viktor/dev-projects/data-2/data-2/App/Controllers/IndexController.php on line 57, referer: http://data-2.test/
[Sat Mar 14 23:47:40.205988 2020] [php7:emerg] [pid 11305] [client 127.0.0.1:45592] PHP Parse error:  syntax error, unexpected '$dump' (T_VARIABLE), expecting function (T_FUNCTION) or const (T_CONST) in /home/viktor/dev-projects/data-2/data-2/App/Controllers/IndexController.php on line 57, referer: http://data-2.test/
[Sat Mar 14 23:47:40.339546 2020] [php7:emerg] [pid 3512] [client 127.0.0.1:45594] PHP Parse error:  syntax error, unexpected '$dump' (T_VARIABLE), expecting function (T_FUNCTION) or const (T_CONST) in /home/viktor/dev-projects/data-2/data-2/App/Controllers/IndexController.php on line 57, referer: http://data-2.test/
[Sat Mar 14 23:47:40.525637 2020] [php7:emerg] [pid 11313] [client 127.0.0.1:45596] PHP Parse error:  syntax error, unexpected '$dump' (T_VARIABLE), expecting function (T_FUNCTION) or const (T_CONST) in /home/viktor/dev-projects/data-2/data-2/App/Controllers/IndexController.php on line 57, referer: http://data-2.test/
